followers_count,verified,retweet_count,mention_count,bio_length,has_location,label,platform
40382,0.0,1919,1330,192,0,0,twitter
3292,0.0,2465,186,273,1,0,twitter
68,0.0,1,3,33,0,1,twitter
19095,0.0,3884,1832,343,1,0,twitter
34993,1.0,2950,1714,483,1,0,twitter
99,0.0,3,9,1,0,1,twitter
195,0.0,29,9,14,0,1,twitter
173,0.0,27,7,3,0,1,twitter
23141,0.0,2921,1542,425,1,0,twitter
14944,1.0,1174,1322,278,1,0,twitter
115,0.0,21,5,33,0,1,twitter
9289,1.0,4446,713,178,1,0,twitter
30197,0.0,2766,1691,284,1,0,twitter
31,0.0,24,15,27,0,1,twitter
34864,1.0,1353,1294,271,1,0,twitter
30770,0.0,4303,637,301,1,0,twitter
36633,0.0,791,930,108,1,0,twitter
15,0.0,13,5,1,1,1,twitter
72,0.0,2,17,7,0,1,twitter
17985,0.0,4007,774,338,1,0,twitter
83,0.0,11,5,17,0,1,twitter
50,0.0,7,3,5,0,1,twitter
41648,0.0,4974,1394,169,1,0,twitter
21109,1.0,2252,493,188,1,0,twitter
993,0.0,1848,491,156,1,0,twitter
38312,0.0,3684,1028,336,1,0,twitter
6,0.0,4,2,18,0,1,twitter
109,0.0,12,10,6,0,1,twitter
10,0.0,1,11,33,0,1,twitter
21323,1.0,2373,62,289,1,0,twitter
11683,1.0,4577,339,295,1,0,twitter
21,0.0,26,12,17,0,1,twitter
39542,0.0,3329,141,224,1,0,twitter
74,0.0,25,1,29,0,1,twitter
55,0.0,28,7,24,0,1,twitter
43683,0.0,3719,696,114,1,0,twitter
6541,0.0,513,1610,86,0,0,twitter
3858,0.0,332,508,231,1,0,twitter
29335,0.0,2407,1612,445,1,0,twitter
40866,1.0,4318,1261,449,1,0,twitter
47814,1.0,2529,826,283,1,0,twitter
10801,1.0,837,1331,374,1,0,twitter
123,0.0,13,5,9,0,1,twitter
132,0.0,9,17,28,0,1,twitter
24,0.0,29,7,19,0,1,twitter
58,0.0,20,4,24,0,1,twitter
34421,0.0,1355,1836,461,1,0,twitter
44,0.0,8,6,27,0,1,twitter
166,0.0,14,19,37,0,1,twitter
11919,0.0,157,1564,353,1,0,twitter
37058,0.0,1287,1749,484,1,0,twitter
6,0.0,21,18,35,0,1,twitter
60,0.0,8,8,14,0,1,twitter
39639,0.0,735,244,321,0,0,twitter
35109,0.0,1565,182,163,1,0,twitter
100,0.0,25,4,15,0,1,twitter
36454,0.0,2947,1897,486,1,0,twitter
4800,0.0,4498,981,223,0,0,twitter
37759,0.0,4029,85,244,1,0,twitter
149,0.0,6,19,19,0,1,twitter
12,0.0,6,13,29,1,1,twitter
6639,0.0,1962,117,205,1,0,twitter
181,0.0,13,6,13,1,1,twitter
15722,1.0,1785,1305,326,1,0,twitter
6,0.0,17,11,33,0,1,twitter
172,0.0,20,9,1,0,1,twitter
129,0.0,26,13,19,0,1,twitter
51,0.0,7,6,3,0,1,twitter
87,0.0,28,16,34,0,1,twitter
158,0.0,17,5,27,0,1,twitter
178,0.0,26,8,15,0,1,twitter
73,0.0,0,17,11,0,1,twitter
17562,0.0,3630,1229,188,0,0,twitter
52,0.0,5,1,1,0,1,twitter
48854,0.0,2271,1264,381,1,0,twitter
136,0.0,23,5,28,0,1,twitter
34123,0.0,812,353,388,0,0,twitter
40225,0.0,1686,1074,419,1,0,twitter
45358,0.0,2537,1774,234,1,0,twitter
12543,0.0,2313,463,116,1,0,twitter
14112,0.0,3593,946,332,1,0,twitter
26870,0.0,3934,105,461,1,0,twitter
20316,0.0,3821,183,199,1,0,twitter
25532,0.0,2970,676,167,1,0,twitter
116,0.0,28,17,32,0,1,twitter
120,0.0,15,11,18,0,1,twitter
49890,0.0,2842,380,374,1,0,twitter
35381,0.0,2862,1216,157,1,0,twitter
37829,0.0,344,1643,298,1,0,twitter
41803,1.0,914,691,278,1,0,twitter
84,0.0,3,2,39,0,1,twitter
123,0.0,14,9,6,0,1,twitter
99,0.0,24,11,8,0,1,twitter
29035,0.0,2616,529,475,1,0,twitter
8184,0.0,2414,767,164,1,0,twitter
